,Unnamed: 0,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Year,Month,Day
232572,788104,2024-01-05,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"I am filing this complaint against Wells Fargo for the unauthorized disclosure of my personal financial information from one account to This disclosure included specific transactions and the status of my account, shared without my explicit consent or prior notification. This action constitutes a breach of my privacy rights as protected under the Privacy Act of 1974 and the Gramm-Leach-Bliley Act ( 15 U.S. Code 6801 ) . I wish to formally opt out of all credit reporting activities conducted by Wells Fargo and seek immediate resolution to this matter. I also demand compensation for the damages incurred due to this breach. Enclosed are relevant documents supporting my claim. I expect Wells Fargo to conduct a comprehensive investigation into this incident and take necessary corrective actions to ensure such violations are not repeated.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,TX,77007,,Consent provided,Web,2024-01-05,Closed with explanation,Yes,,8113766,2024,1,5
727560,1887260,2024-01-04,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,My credit reports are inaccurate. These inaccuracies are causing creditors to deny me credit. You have the duty to report accurate information about consumers. Please investigate these accounts and inquires and update these accounts accordingly to avoid future litigation.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",VA,XXXXX,,Consent provided,Web,2024-01-04,Closed with non-monetary relief,Yes,,8105540,2024,1,4
655070,1734610,2024-01-05,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"I just looked over a copy of my credit report. It said that the credit inquiries mentioned below were the source of the credit inquiry. But I did not authorize these investigations. As these queries are negatively impacting my ability to obtain credit and apply for loans, kindly have them erased from my credit report. Additionally, send me any supporting documents you may have for this request",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33461,,Consent provided,Web,2024-01-05,Closed with explanation,Yes,,8105051,2024,1,5
388,17838,2024-01-30,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Old information reappears or never goes away,In Citibank Home Depot store credit card with a limit {5 current payment status dollars is due this account is showing as negative payment on my account that should be removed from three the credit bureaus as of account number remove all late payments,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NY,123XX,,Consent provided,Web,2024-01-30,Closed with non-monetary relief,Yes,,8252453,2024,1,30
1886,63782,2024-01-19,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,"On I wrote a check ( Check Number from Wells Fargo checking account ) to pay to the order of "" Internal Revenue Service '' ( IRS ) for dollars and cents ( {32 ) I signed this check with my social security number and signature. On I went to the US Post Office located at CA to send this check via Certified Mail to the IRS ( Address , MO ) and paid for tracking and signature requirement. The tracking number to this letter was misplaced and I no longer am in possession of it.Upon reviewing my bank transaction history dated I learned that Check Number was cashed on The transaction history on this statement did not have a description of the check, but simply, that this check was cashed on this date. On I received a letter from the IRS stating that they did not receive the payment of {32 I immediately called the IRS at and they confirmed over the phone that they did not receive the check. I told the IRS agent that the check was cashed on and the woman over the phone advised me to call them back in a month, because it takes months for it to process in their system. I shared with them the Check Number and the amount I sent before ending the call. On I received another letter from the IRS stating that they did not receive the payment of {32 I called the IRS twice after receiving this notice and was told that they were closed for the holidays and to follow up in On I called the IRS to confirm payment and the representative said they did not receive it. I questioned the representative about the Check number cashed on and he continued to tell me that it still was not in their system. The representative said they would be willing to extend my payment to and then advised me to look into the metadata from the bank. I took this advice and partnered with my daughter to look into my Wells Fargo online account to view the image of the check, Check Number This check image showed that my check was changed completely. Check Number was written to pay to the order of and for in forged handwriting and not the IRS. After learning the changes on Check Number I called Wells Fargo customer service and reported this finding. The agent said they would file a case, report it as fraud and investigate. The case number that was generated from this call was number On Thursday at I received the following voicemail message Hello calling from the Wells Fargo bank calling from the claims department. I'm returning a call regarding your claim. You can always give us a call back at I called the number left on that voicemail and spoke to a person named I said I was returning the call and wanted to know if there was any information that he could provide me about my case. He said that the investigation team closed my claim because the claim doesnt fit the reimbursement requirements and stated that the claim needed to be within the last days. In summary, I am very upset about this situation, because I was robbed of {32 dollars. I did everything I could to stay compliant with the IRS and did my part in protecting myself when sending this check via USPS tracking. When I spoke to the Wells Fargo investigator, he said that I should have reviewed my Wells Fargo statement and seen the images of Check Number to question it. I told the investigator that my statement did not provide any check images or description for me to catch this detail. He said that since I did not report anything from this statement within the days it was received, it would not fit their investigations requirement. I can not understand why Wells Fargo is holding me responsible for an unauthorized transaction. This check was washed, endorsed to a different entity, and had completely different handwriting from mine. I am normally called when I issue a check over {5 to authorize the payment, but not for a check of over would really appreciate help in this matter",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,CA,95148,Older American,Consent provided,Web,2024-01-19,Closed with explanation,Yes,,8183062,2024,1,19
2972,82980,2024-02-02,Credit card,Store credit card,Getting a credit card,Card opened without my consent or knowledge,I have hard inquiries on my credit reports currently that I can see ) from where someone has fraudulently applied for credit cards. To my knowledge at least cards have been issued and charged under my name between and I have contacted the companies and reported it as fraud and they have closed the accounts.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,NC,28658,,Consent provided,Web,2024-02-02,Closed with explanation,Yes,,8268875,2024,2,2
4658,104045,2024-01-12,Debt collection,Medical debt,Written notification about debt,Didn't receive notice of right to dispute,"I was unaware that the hospital was pursuing a debt that occurred over two years ago. Upon discovering this information on my credit report, I contacted the collection agency, but they were unable to provide details. Subsequently, I reached out to the hospital, only to find that they lacked coherent information as well. In an effort to clarify the situation, I obtained my medical records, which incorrectly stated that I was transferred via ambulance. In reality, I initially sought care at but no information was collected during that visit. Unfortunately, due to the urgency of the matter, I have no recollection of that day. I am seeking the removal of the medical debt from my credit report based on the provisions outlined in known as the Consumer Protection for Medical Debt Collections Act. According to this bill, consumer reporting agencies are prohibited from including medical debt arising from a medically necessary procedure or other medical debt less than a year old on a consumer credit report. Additionally, those reporting medical debt must notify the consumer about these restrictions before including it on credit reports. Moreover, debt collectors are prohibited from collecting medical debt less than two years old.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SCA Collections, Inc.",NC,28027,,Consent provided,Web,2024-01-12,Closed with explanation,Yes,,8148624,2024,1,12
670322,1767100,2024-01-03,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,I recently checked my credit reports and I found out some billing errors that violated the Consumer Law I attached the PDF file of my dispute letters that were sent to the involved Bureaus My dispute letters were ignored and nothing happens so far.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,334XX,,Consent provided,Web,2024-01-03,Closed with non-monetary relief,Yes,,8098488,2024,1,3
4254,101794,2024-01-17,Checking or savings account,Checking account,Managing an account,Problem accessing account,"THIS BANK VERIFIED ME IN THEN THE NEXT DAY AFTER THEY VERIFIED ME FOR ALMOST HOURS OVER THE PHONE. I SENT THEM ALL REQUESTED DOCUMENTS VIA ONLINE TO VERIFY ME. I WAS TOLD THE NEXT DAY THAT I COMPLETED THE VERIFICATION PROCESS SUCCESSFULLY. THEN BEFORE THEY WOULD ALLOW ME TO SIGN THE PAPERS THEY SAID THAT I HAD TO GIVE THEM MY ACCOUNT INFORMATION SO THAT THEY COULD FUND MY ACCOUNTS. I THOUGHT THAT WAS STRANGE BECAUSE MOST BANKS ALLOW YOU TO FUND YOUR ACCOUNT AFTER YOU SET IT UP . NOT BEFORE. I FELT LIKE IT WAS A ULTIMATUM. THEN THEIR CUSTOMER SERVICE AGENT ASKED FOR MY DEBT CARD NUMBER AND SECURITY CODE. HE ALSO ASKED ME WHAT THE VALUE OF MY HOME IS WHICH I REFUSED TO GIVE HIM. THEN AFTER THEY GOT MY FUNDS FROM MY OTHER ACCOUNT THEY LOCKED ME OUT OF MY ACCOUNT ONLINE AND SAID THAT THEY DID NOT BELIEVE I WAS ME. THIS AFTER THEY VERIFIED ME AND TOOK MY MONEY. THIS IS FOR A ACCOUNT THAT YOU GET A BONUS. THESE BANKS ARE TRYING TO GET NEW CUSTOMERS THEN THEY TRY TO BE MEAN SO THAT THEY DO NOT HAVE TO PAY THE BONUS. THIS IS A SCAM THESE BANKS ARE RUNNING. THEY ARE TRYING TO GET NEW COSTUMERS FOR THEIR INVESTORS AND THEN TRYING NOT TO PAY THE BONUSES. I HAVE BEEN REQUESTING FOR THEM TO CALL ME FROM THEIR SINCE .NO ON HAS CALLED ME! THEN NOT ONLY WAS THEIR CS MEAN AND RUDE THEY REFUSED TO ALLOW ME TO GET TO MY OWN MONEY AFTER THE TRANSFER. THEN ONE OF THE LAST CALLS I MADE TO THEM IT SOUNDED LIKE THEIR CS REP WAS DOING SOMETHING INAPPROPRIATE ON THE PHONE. I ASKED HIM, "" WHAT IS THAT SOUND. '' THEN IT STOPPED AFTER HE SAID, "" DOES IT SOUND LIKE LIKE SOMETHING RUBBING ON THE PHONE. '' IT MADE ME FEEL VERY UNCOMFORTABLE!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BMO HARRIS BANK NATIONAL ASSOCIATION,VA,23061,,Consent provided,Web,2024-01-19,Closed with monetary relief,Yes,,8171302,2024,1,17
201553,637618,2024-01-03,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,Yet again experian starts the day out closing another complaint and giving a STUPID RESPONSE THAT HAS NOTHING TO DO WOTH THE PROBLEM,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,MO,65202,,Consent provided,Web,2024-01-03,Closed with explanation,Yes,,8096152,2024,1,3
79763,346498,2024-01-02,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Please have this inquiry removed from my credit file immediately because it is making it very difficult for me to acquire credit,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33009,,Consent provided,Web,2024-01-02,Closed with explanation,Yes,,8091937,2024,1,2
2306,72559,2024-01-28,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,I called the debt collection agency and explained the account was not opened by me and explained how I was positive of the fact. Also informed her that at the time the account was opened I was fully insured and that would have paid any medical bill. Proceded to get any and all information they had that I opened the account and was told I needed to pay {1 so they could access all three credit agencies to see if there was any information that was inaccurate or was different than what they had.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Ability Recovery Services, LLC",TX,76107,,Consent provided,Web,2024-01-28,Closed with explanation,Yes,,8241235,2024,1,28
627182,1675144,2024-01-03,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Please eliminate these deceptive accounts from my credit report as I never authorized anyone to use my account. Kindly remove this incorrect account.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TN,38128,,Consent provided,Web,2024-01-03,Closed with explanation,Yes,,8099480,2024,1,3
212659,688715,2024-01-11,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,Payment process,"I paid off my heloc in of Received a statement on showing balance due and past due. Meaning paid to with nothing due at all. I get a call on from at stating {850 is due from which is the exact number that was due on the statement but not due any longer on the statement because I paid it. He further asked me to prove I paid it when it's aleady in the system. Apparently this institution does quite a bit of manual coding and manual entries of posting payments in a back end secondary system and too frequently have errors been exposed. I paid everything off and this is not the first time I have had issues with incorrect Information being inputted internally that results in more charges to the borrower. I feel a full audit needs to be done on both loans fixed and not fixed due to misappropriation of funds, misapplied funds and incorrect interest charges. I would not be surprised if this misappropriation of funds has damaged other Consumers without them knowing any different. I have attached the and statements for comparison and the suddenly due interest showing on their website that was not due before. Someone did something wrong and caused this problem. How many more problems are there that noone knows about?",Company has responded to the consumer and the CFPB and chooses not to provide a public response,ZIONS BANCORPORATION,CO,XXXXX,,Consent provided,Web,2024-01-11,Closed with explanation,Yes,,8151195,2024,1,11
647894,1719907,2024-01-06,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681.15 U.S.C 1681 section 602 A. States I have the right to privacy.15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33026,,Consent provided,Web,2024-01-06,Closed with non-monetary relief,Yes,,8117427,2024,1,6
2831,80331,2024-01-23,Debt collection,Rental debt,Attempts to collect debt not owed,Debt was result of identity theft,From to about I was a victim of identity theft where an unknown person was using my name and personal information to open multiple bank accounts and ) as well as lease an apartments ) with my identity. The total amount was {57 dollars. I have alerted banks creditors and leasing agents to try and help resolve this issue. To my knowledge the thief opened up a bank accounts in and leased apartments in Nevada.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Allied Collection Services, Inc. (Nevada)",CA,92102,,Consent provided,Web,2024-01-23,Closed with explanation,Yes,,8210864,2024,1,23
206988,660744,2024-01-05,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"This is to call the attention of concerned that there has been an improper use of my credit report which has result to someone unauthorized inquiries on my report, I will like this error addressed in a timely manner.I do not authorize nor benefit from any of the following inquiries, reporting irregularities is a violation to my consumer rights kindly remove all inquiries",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",KS,66030,,Consent provided,Web,2024-01-05,Closed with non-monetary relief,Yes,,8111663,2024,1,5
1794,61206,2024-01-29,"Payday loan, title loan, personal loan, or advance loan",Installment loan,Problem with the payoff process at the end of the loan,,"Omni Financial of Nevada has continued to avoid my concerns. My account shows C/O of but amount owed Again, not only did I purchase debt cancellation with the original loan which shouldve took care of this debt but, and mainly, had it not- the balance should still only be Ive never been provided right to dispute, payment plan option, nor a monthly statement outlining interest as required by FDCPA and FCRA.",Company disputes the facts presented in the complaint,"CashRepublic Holdings, Inc.",TX,76502,Servicemember,Consent provided,Web,2024-01-29,Closed with explanation,Yes,,8246154,2024,1,29
26197,184874,2024-01-10,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,"In I refinanced my student loans with PenFed Credit Union to a 5 year, adjustable rate loan. I very quickly paid down a large portion of the loan and was a number of months ahead on payments ( PenFed allows customers to skip payments if they are ahead on repayment rather than taking the extra payments off the principal amount ) My monthly statements never actually showed how many months ahead I was, until a change in format with the statement, which showed my next payment was not due until This continued until when the statements again changed, now showing my next payment was due that month. I believe what PenFed did was recast or reamortize my loan, effectively negating the months ahead I was on payments and requiring me to make monthly payments again, albeit at a lower amount, all without notifying me. I have made inquiries about this issue since I was finally told in early that there was indeed an issue with their system in "" forecasting due dates after rate adjustments for variable rate loans. '' My 'next payment ' date was corrected and I was ensured that a detailed explanation would be given to me once the issue had been investigated. In late I asked for that explanation and was told that additional information could not be given beyond the detail that a problem was identified and a solution given. I believe PenFed Credit Union has changed their policy/practices regarding the management of adjustable rate loans without notifying its customers, and is now actively preventing me from obtaining information to which, as a customer in good standing, I feel I am entitled.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,PENTAGON FEDERAL CREDIT UNION,WA,986XX,,Consent provided,Web,2024-01-10,Closed with non-monetary relief,Yes,,8137652,2024,1,10
672208,1770762,2024-01-02,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"Hey, my name is I have noticed that I have had collections, inquires, and late payments on my consumer report that does not belong to me. It has impacted me deeply and has hurtled me. The consumer report agencies have validated the consumer laws that was passed by congress. 15 U.S Code 1681. Meaning that they never received my consent on a hardcopy. Giving them permission to furnish on my consumer report. 15 U.S Code 1681 C-2 "" blockage of information ''. This consumer law gives me the authority to tell the information that I wish to be requested to be deleted on my consumer report. And it must happen within 4 business days. Due to me filing my FCT Report. This law states that if you file a police report through the FCT, it must be removed.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AL,35126,,Consent provided,Web,2024-01-02,Closed with non-monetary relief,Yes,,8087661,2024,1,2
808,31091,2024-01-26,Credit card,Store credit card,Incorrect information on your report,Personal information incorrect,I moved to another house and I never received any notification or email from Macys and they said I was missing couple of months payment then had me pay over {350 in interest without getting back to me to ask for my new address or send me any notification,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",PA,191XX,,Consent provided,Web,2024-01-26,Closed with non-monetary relief,Yes,,8229013,2024,1,26
172157,559169,2024-01-04,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,"My extended family was had rented a vacation house for this summer and I charged the first half on my Wells Fargo card. Several family members have been diagnosed with health problems and are unable to go. So we canceled the trip and the rental company refunded the payment that we made with the card. Now I have a - {78 credit balance. I want a refund obviously. They tell me that it will take a month to issue a refund check. Its a check. It shouldnt take a month to issue a simple credit balance refund. Meanwhile, we owe several people their share of the down payment and I cant give it to them because Wells Fargo says it takes them a month to issue a check.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,OH,43015,,Consent provided,Web,2024-01-04,Closed with non-monetary relief,Yes,,8109630,2024,1,4
1601053,4377516,2024-01-04,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,I have not authorized the creation of these accounts and believe they are potentially fraudulent.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,60628,,Consent provided,Web,2024-01-04,Closed with explanation,Yes,,8109137,2024,1,4
3280,88149,2024-01-30,Checking or savings account,Checking account,Managing an account,Funds not handled or disbursed as instructed,"On the we noticed a large drop in our balance on our business checking account with Wells Fargo. After going through numerous transactions online, we noticed two business to business ach mobile payments to listing an unknown person. On The first was for {55 and the other was for {36 These fraudulent charges totaling {91 We called and submitted a claim. We called back in at a latter date to check status and was told that the funds would be deposited back into our account on I called another day to check status the representation said that she would put in a request to expedite the funds being returned. Then, I called back yesterday and was told be another representative that our company 's funds will not be returned to us. I asked for a supervisor. she said she would submit a request to the escalation team. I spoke to him and he said he would escalate to a higher escalation team and they would be contacting us with in 48 hours. We are a small business and we need our money to pay employees, customers, pay bills etc. I stayed on the phone until late last evening trying to get the funds restore but was unsuccessful. We I got home and retrieved the mail there was a letter from Wells Fargo stating that they have completed their research of the inquiry about a {91 charge to our business account on They stated that they were unable to reimburse us because too much time passed before we notified them on about the charge. They recommended that we contact the merchant to resolve the issue. Wells Fargo allowed a company to take {91 of our hard earned money and refuses to give it back. They acknowledged that we did not authorize it but they are not willing to reimburse us. This is not a small amount and has a large impact on our business. I reached out to and spoke to a representative named and he stated to have the bank send them to sent them and Unauthorized Affidavit of Unauthorized Activity, Copy of all statements and/or checks/ach showing the unauthorized checks/ach, Send a letter on bank letterhead explaining the error/fraud and mail to Fraud Support Virginia and two weeks from date affidavit received, we will receive our funds back. I called Wells Fargo Small Business Fraud Dept back and gave them this information. They said they notated the account but we would have to now wait for the investigators to contact us within the next 48 hours. This is theft! We work hard for our money and the right thing to do is give it back. This is very stressful!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,GA,30189,Servicemember,Consent provided,Web,2024-01-30,Closed with explanation,Yes,,8253146,2024,1,30
1123,43285,2024-01-30,Debt collection,Credit card debt,Took or threatened to take negative or legal action,Threatened to sue you for very old debt,Someone came to our house on He was flashing his flashlight looking around. We didn't know who he was so we didn't answer the door. He came back at My dog was going crazy so I asked who he was. He said he had papers and I told him I'm not opening my door. I told him I'm going to call the police if he doesn't leave. He said he had papers for I asked him to leave again and told him I will call the police. He pretended he was the police but left the property but took pictures of my home. The police was also called and I was told if he comes back we can do a trespass warrant but he had to be there to do it and was told we don't have to answer or door. The guy also said we didn't have to sign the papers which was a lie in attempt to get us to open our door. The lawsuit came from a place called Javitch Block LLC and the phone # is They will not answer their phone and I felt threatened in my own home by the person they sent out.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Javitch, Block & Rathbone LLC",TX,75006,Servicemember,Consent provided,Web,2024-01-30,Closed with explanation,Yes,,8247864,2024,1,30
